Milliseconds,X,Y,Z,ground truth
6960,-0.9444764,1.9971647,3.0295713,no
6980,-0.74003935,0.62381697,0.095288455,no
7001,-0.27023387,-0.5720605,-0.8752369,no
7020,-1.0546048,-0.1640984,0.009733602,no
7040,-0.20627984,0.4336884,2.3105202,no
7061,3.844472,0.014951704,5.071325,no
7081,2.0529702,-0.22174157,1.4226755,no
7101,-2.532948,1.5125357,-2.9017942,no
7120,-2.188371,0.43655792,-3.552956,no
7140,-0.4536405,0.062681586,-4.1823483,no
7160,-0.9414299,0.6006879,-4.7186365,no
7180,1.8167437,-1.7455158,-2.1135807,no
7201,2.6367118,0.28222343,11.817146,no
7220,-1.5864058,-0.032038692,4.6269097,no
7240,-1.2647092,-0.20506431,-0.35729676,no
7261,-1.3249983,-0.6496932,-3.6071258,no
7280,-1.5585397,0.026282946,-3.8486896,no
7300,-1.8058968,0.13437958,-5.41639,no
7320,1.7033668,-0.318739,-3.962614,no
7340,4.5996857,2.2134628,5.3056984,no
7360,3.6777651,1.8160071,4.909018,no
7380,0.40242815,-1.1905643,0.71971357,no
7400,0.17390282,-0.082916446,-0.7323223,no
7420,-0.5638161,1.0053536,-1.8197519,no
7440,-1.2014943,0.5745498,-1.6373655,no
7461,-0.92037946,0.45507175,-1.123701,no
7480,-1.6275917,0.9575663,-1.6242118,no
7500,-1.0216784,0.9521373,-0.4629742,no
7520,-1.8092104,0.40379518,-2.3523796,no
7540,-0.4993813,0.5459681,-3.6093237,no
7560,-0.10670869,0.56117743,-4.0162363,no
7581,0.58738464,-0.31304288,2.8449862,no
7600,0.13424742,-0.37385312,6.4983387,no
7620,-1.1795502,0.08977684,-2.3578205,no
7640,0.1866516,-0.19783206,-1.2842462,no
7660,1.09582,0.2784572,2.1052608,no
7681,0.35883683,1.157606,1.2433023,no
7700,-0.49016276,1.4593136,0.68639016,no
7720,-0.77579606,0.40951103,0.005249431,no
7740,-0.5717544,-0.7532257,-0.4605237,no
7760,0.7231897,-0.11854679,-1.2758021,no
7780,1.6616961,0.73085755,-1.5978801,no
7801,0.86551034,1.7947311,-1.6453086,no
7820,-0.89238095,1.8888623,-4.1938653,no
7840,1.0352073,-1.5043346,4.16803,no
7860,-1.207364,-0.27125117,6.254681,no
7880,-0.038062513,-1.1472728,4.1470423,no
7900,0.30072257,-0.35656708,0.06773299,no
7921,0.26581421,-0.009513962,-1.601804,no
7940,0.6442479,0.07743921,-0.7231735,no
7960,0.5564467,0.8227175,1.074598,no
7980,0.1141788,0.13914095,-1.6402252,no
8000,0.044054974,-0.23488289,-3.9701796,no
8020,-1.586303,1.2779989,-2.0776036,no
8040,0.31078678,1.1427958,0.9994914,no
8061,0.8190933,0.9426622,2.2749774,no
8080,-0.20526221,0.6642966,1.9803846,no
8100,-0.7728107,-0.07605945,0.29358524,no
8120,0.1362533,0.8234257,-2.0076847,no
8140,0.51785064,0.12341119,-2.1108768,no
8160,-0.87341803,0.816505,0.08297517,no
8181,-1.1601112,0.10724444,2.9278672,no
8200,-0.1624886,-0.117005385,0.5487471,no
8220,0.08324332,0.29065967,-1.3420024,no
8240,-0.2960074,0.04463859,-0.9253216,no
8260,0.0140393125,0.106869325,-0.10137901,no
8281,0.9235298,-0.47287598,-1.2268918,no
8301,0.84206945,-0.060154915,-1.8214808,no
8320,-1.0361103,1.4852777,-1.4695495,no
8340,-1.3699024,1.3210919,1.0887928,no
8361,-0.27819183,0.60434,1.5941844,no
8380,0.044092927,0.5848586,1.7480901,no
8400,-1.2350498,1.7186196,-1.3216631,no
8420,-0.47581103,0.42985418,-2.0240688,no
8440,-0.33061257,0.5156137,-2.4323113,no
8461,0.0926668,0.507681,-1.5830587,no
8480,-1.1125221,0.5266833,0.87308204,no
8500,0.47083467,0.34362414,2.4302504,no
8520,0.7636605,-0.28865597,1.9339633,no
8540,-0.050988182,-0.2067988,0.70957804,no
