Milliseconds,X,Y,Z,ground truth
8001,-0.25739467,-0.07350059,-0.50429285,no
8021,-0.4576644,-0.4191789,-0.20495349,no
8041,-0.14500928,-0.23488815,-0.13677657,no
8062,0.4856273,0.25513348,-0.1804524,no
8081,0.91865724,0.4836327,-0.15275553,no
8101,0.8648614,0.37391046,-0.14902711,no
8121,0.37270924,-0.22370288,-0.18844189,no
8141,0.06751098,-0.22476813,-0.24916197,no
8161,0.12823106,0.019710055,-0.12825446,no
8181,0.75886625,0.1283638,-0.072331086,no
8201,0.6715146,0.0047931354,-0.08671215,no
8222,0.4834954,0.105993256,-0.11973535,no
8241,0.4238406,0.030359482,-0.10695218,no
8261,0.6038703,0.18482283,-0.17672701,no
8281,0.34554368,0.06444794,-0.42173782,no
8302,-0.10825901,-0.10333121,-0.6118875,no
8321,-0.43582782,0.014913147,-0.4744684,no
8341,-0.33942136,-0.053796407,-0.15382382,no
8361,-0.031027328,-0.05432904,0.10077439,no
8381,0.23262562,0.020772101,0.07414278,no
8401,0.087217025,0.3408841,0.1140902,no
8421,-0.43849096,0.10759115,0.12793863,no
8441,-0.7852346,-0.08202592,0.23446508,no
8461,-0.9066747,-0.27643666,0.48906326,no
8481,-0.6456849,-0.2886872,0.8619059,no
8501,-0.11678112,-0.15925759,0.61849296,no
8521,0.52876914,0.2817619,0.08639332,no
8542,0.9788434,0.362722,0.044315368,no
8561,0.691222,0.14381014,0.034195356,no
8581,0.14846973,0.06977426,0.13486284,no
8601,-0.030494696,0.2125197,0.10503545,no
8621,-0.12423797,0.17044176,0.072012246,no
8641,0.08881492,-0.013848992,0.14285232,no
8661,0.17669924,0.035153173,0.15403761,no
8681,-0.066181056,0.15819122,0.14977655,no
8702,-0.007058877,0.047403716,0.10343755,no
8721,0.123968646,0.14274488,0.07361015,no
8741,0.015844308,0.16405018,0.08213226,no
8761,-0.054463144,0.111852214,0.062424865,no
8781,-0.11731375,0.112917475,0.11355756,no
8801,-0.16844645,0.16511543,0.102904916,no
8821,-0.1098569,0.3179809,0.11036177,no
8841,-0.2089265,0.4569979,0.17694078,no
8861,-0.35326982,0.084155336,0.31649044,no
8882,-0.5279732,0.13155961,0.35111153,no
8901,-0.6142596,0.20399758,0.39318946,no
8921,-0.33622557,0.14167961,0.36123154,no
8941,0.22836456,0.06657847,0.30370727,no
8961,0.25978988,0.16884387,0.16682078,no
8981,0.26884463,-0.17363866,0.0464459,no
9001,0.2533983,-0.48895693,0.03898905,no
9021,-0.15619591,-0.22796714,0.021412184,no
9042,-0.08162739,-0.28495878,-0.17725964,no
9061,0.8568706,-0.38296312,-0.18365122,no
9081,1.1237193,-0.11877754,-0.37220302,no
9101,0.8217169,0.21784602,-0.34557143,no
9121,0.30879205,0.44101894,-0.50908947,no
9141,-0.06671369,-0.020773211,-0.14903013,no
9162,-0.35806352,-0.08149329,0.009694275,no
9181,-0.017711522,0.026098425,0.066153295,no
9201,0.07922754,0.14327751,0.078936465,no
9222,-0.008656774,0.033022646,0.045913268,no
9241,0.14101288,0.022902632,0.009694275,no
9261,0.2502025,0.21145444,0.05390275,no
9281,-0.014515728,0.29614297,0.06988172,no
9302,-0.42837095,0.23116183,0.014487966,no
9321,-0.5668553,-0.16777971,0.15084182,no
9341,-0.26645076,-0.23063031,0.08639332,no
9362,0.3018678,0.1347554,-0.0659395,no
9381,0.51332283,0.13741855,-0.105886914,no
9401,0.27310568,0.10652589,-0.09629954,no
9421,-0.19561069,-0.030360593,-0.10695218,no
9442,-0.060854733,-0.16085549,0.09757859,no
9461,0.16391607,-0.20506397,0.13379759,no
9481,0.094141245,-0.16351865,0.0059658503,no
9501,0.3199773,0.096938506,-0.09629954,no
9522,0.36897948,0.04900161,-0.050493166,no
9541,0.13249077,-0.10546174,-0.0057520587,no
9561,0.051530667,-0.041013233,-0.06700476,no
9582,0.118109696,-0.02290374,-0.09257111,no
9602,0.08828229,0.0047931354,-0.14956276,no
9621,-0.09068214,0.07083953,-0.10855008,no
9642,-0.08642108,0.12570065,-0.047830004,no
9661,-0.023570476,0.14167961,-0.024926819,no
9682,-0.15406537,-0.034089014,0.010226908,no
9704,-0.038482346,0.008525935,-0.027585862,no
9721,0.09520834,0.19388196,-0.05208695,no
9741,-0.033156022,0.12091133,-0.054217476,no
9762,-0.20679413,0.017580682,0.09811534,no
9781,-0.19667412,-0.10705526,0.13113855,no
9801,-0.042210773,-0.041541494,0.057635292,no
9821,0.02277036,0.03622281,-0.031846922,no
9842,0.12237258,-0.026095161,-0.043564834,no
9861,0.18096213,0.0095912,-0.082446985,no
9881,0.06857673,0.083627075,-0.010541632,no
9902,-1.33E-04,-0.08202155,-0.020661645,no
9921,0.0041282326,0.0095912,-0.09469753,no
9941,-0.07310344,0.06924601,-0.113339655,no
9962,0.038749326,0.12570503,-0.07019644,no
9981,-0.042743403,0.1022692,-0.003084781,no
10002,-0.10452875,-0.0037246062,0.032601576,no
10022,-0.025699172,0.09694288,-0.012139529,no
10042,-0.013981263,0.097475514,0.038993165,no
10061,0.13994944,0.013852258,0.07361426,no
10081,-0.012383366,0.14594506,0.049645808,no
10102,-0.041145507,-0.06391205,0.031536315,no
10121,0.18096213,-0.11344685,0.05177634,no
10142,0.19960426,0.038353343,0.0011762768,no
10161,0.18522319,-0.019703573,-0.041434303,no
10181,0.06538094,-0.022899367,-0.075522766,no
10201,0.018509302,-0.053792033,-0.11387228,no
10222,-0.015046528,0.006395406,-0.07871856,no
10241,0.15486315,-0.09001103,-0.023857437,no
10262,0.18522319,-0.1539269,-0.08351225,no
10281,0.19001688,0.07031127,-0.18311447,no
10302,0.2832275,0.13209662,-0.15541759,no
10321,0.16924421,-0.08521734,-0.08297962,no
10342,-0.03262339,0.0133196255,-0.10694807,no
10362,-0.08641925,0.030363856,-0.07712066,no
10383,-0.013981263,-0.035149906,-0.075522766,no
10401,-0.015046528,0.028233327,-0.0909691,no
10422,-0.01770969,0.17896825,-0.09576279,no
10442,0.07177252,0.17683773,-0.051554315,no
10462,-0.06617922,0.058593366,-0.02918376,no
10482,-0.28509107,-0.066575214,-0.04995642,no
10502,0.009987187,0.019178579,-0.044630095,no
10522,0.05366303,0.037288077,-0.09895858,no
10542,-0.043276034,0.20666513,-0.121329136,no
10561,-0.021438114,0.04048387,-0.03131429,no
10582,-0.16365093,0.01438489,0.012894186,no
10602,-0.28988478,0.014917522,-0.018531116,no
10622,-0.14554143,-0.0713689,0.077875316,no
10643,0.052597765,-0.10652263,0.039525796,no
10662,0.056326192,0.030896489,-0.021194277,no
10681,0.1308947,0.09374709,0.012361554,no
10702,0.23901935,0.009637094,0.04291077,no
10721,0.18628876,-0.17199048,0.08179293,no
10741,0.089349695,-0.13044518,-7.65E-04,no
10762,0.19534351,0.06662874,-0.018874565,no
10782,0.16498348,-0.10647673,-0.04124512,no
10803,0.10586129,-0.2034158,-0.07906201,no
10822,0.04886964,0.034138177,-0.15629369,no
10842,0.12130763,0.09006456,-0.051365133,no
10861,-0.029959926,-0.05001772,-0.014613507,no
10882,-0.020905178,-0.1821105,-0.034320902,no
10902,0.031292778,0.06343295,-0.16002211,no
10922,0.18575613,0.14971937,-0.05296303,no
10942,0.07603388,-0.09742198,-0.11900942,no
10962,-0.04221047,-0.031375587,-0.19837163,no
10982,0.019574871,0.24878897,-0.17174003,no
11002,-0.116778985,0.26689845,-0.047636706,no
11022,-0.30266765,0.0048434036,0.032258127,no
11041,-0.23608859,-0.19329578,0.0631508,no
11061,0.041945424,0.14172989,-0.032723006,no
11082,0.18362561,0.23547317,0.01148547,no
11101,0.22623618,0.009104461,0.044508666,no
11121,0.12450342,-0.09369356,-0.0034282317,no
11141,0.0696423,0.13746883,0.0034959873,no
11161,0.0067916964,0.13160989,0.026399173,no
11182,-0.12157267,-0.18157788,0.056226578,no
11201,0.07603485,-0.17039028,-0.024731342,no
11221,0.243814,0.08154476,-0.060950335,no
11241,0.40147316,0.006443616,-0.03591662,no
11261,0.22943294,-0.12564917,-0.07905983,no
